id,name,province,lat,lon,observations,last_seen,documented,frp_peak_mw,brightness_i4_c,footprint_ha,burned_area_ha,wind_speed_kmh,wind_from_degrees,wind_gust_kmh,air_temperature_c,valid_at_utc
29bbbb1a1827,Badajoz,Badajoz,38.88057,-5.67152,2,2026-09-18T14:25:00+00:00,False,4.95,76.3,58.0,,8.6,118.9,10.1,18.7,2026-09-19T06:00:00Z
a8d9e6741d60,Cadiz,Cadiz,36.94738,-5.18271,2,2026-09-19T03:04:00+00:00,False,3.21,62.5,30.1,,9.5,127.6,11.5,16.6,2026-09-19T06:00:00Z
d3a1386da62f,Illes Balears,Illes Balears,40.02717,3.82648,2,2026-09-18T12:44:00+00:00,False,3.14,65.9,29.9,,24.6,22.0,28.7,23.4,2026-09-19T06:00:00Z
cdf34537cad0,Almeria,Almeria,36.96722,-1.90613,2,2026-09-19T02:09:00+00:00,False,2.35,47.7,26.4,,20.9,27.9,27.9,22.2,2026-09-19T06:00:00Z
774380c88aa1,Guadalajara,Guadalajara,40.71714,-3.24449,2,2026-09-18T13:04:00+00:00,False,2.33,65.8,30.5,,5.9,51.6,5.8,14.3,2026-09-19T06:00:00Z
d29104454187,Navarra,Navarra,42.76125,-1.94564,2,2026-09-18T12:44:00+00:00,False,2.21,56.5,34.3,,4.2,348.4,4.4,8.8,2026-09-19T06:00:00Z
b047eca2d0e9,Barcelona,Barcelona,41.40727,1.99687,2,2026-09-19T03:02:00+00:00,False,1.32,35.7,56.4,,5.2,329.7,6.1,20.9,2026-09-19T06:00:00Z
cbc8d60ba243,Navarra,Navarra,42.81321,-1.74221,2,2026-09-19T02:06:00+00:00,False,1.21,26.5,28.5,,3.5,17.7,3.9,9.5,2026-09-19T06:00:00Z
6ed62574d361,Alicante,Alicante,38.37793,-0.54461,2,2026-09-19T02:43:00+00:00,False,1.07,30.7,27.5,,12.1,36.2,14.7,20.4,2026-09-19T06:00:00Z
df9dc416b619,Coruna,Coruna,43.34748,-8.43583,2,2026-09-19T02:41:00+00:00,False,0.64,33.4,28.5,,7.3,85.5,11.4,13.0,2026-09-19T06:00:00Z
95bc8e42f23c,Navarra,Navarra,42.92154,-1.5115,2,2026-09-19T02:06:00+00:00,False,0.55,24.3,30.9,,1.7,78.6,2.7,8.9,2026-09-19T06:00:00Z
5cc34e0dbf81,Badajoz,Badajoz,38.91635,-6.04901,1,2026-09-18T13:48:00+00:00,False,7.88,72.5,18.4,,8.1,97.3,10.6,18.9,2026-09-19T06:00:00Z
115bdc380e2c,Pontevedra,Pontevedra,42.64122,-8.23525,1,2026-09-18T13:50:00+00:00,False,7.12,58.9,22.3,,6.3,105.3,6.6,11.4,2026-09-19T06:00:00Z
cf523f9dd597,Illes Balears,Illes Balears,39.75648,3.1412,1,2026-09-18T12:44:00+00:00,False,4.87,74.4,16.0,,15.7,27.8,18.9,21.3,2026-09-19T06:00:00Z
ec02a32261e0,La Rioja,La Rioja,41.96755,-1.98718,1,2026-09-18T13:48:00+00:00,False,3.06,60.5,21.4,,1.2,218.1,1.5,10.7,2026-09-19T06:00:00Z
54c5678fd1aa,Cadiz,Cadiz,36.74396,-5.91605,1,2026-09-18T13:48:00+00:00,False,2.51,62.0,17.2,,8.2,46.0,9.6,20.2,2026-09-19T06:00:00Z
578c79a655d5,Huelva,Huelva,37.18003,-6.89533,1,2026-09-18T13:01:00+00:00,False,2.34,63.2,19.8,,13.4,20.9,15.3,20.6,2026-09-19T06:00:00Z
a8f81a1366de,Cadiz,Cadiz,36.76631,-6.11204,1,2026-09-18T13:48:00+00:00,False,2.33,65.2,16.3,,10.8,42.0,15.5,20.6,2026-09-19T06:00:00Z
e36ed8c9bb74,Badajoz,Badajoz,38.4258,-6.40644,1,2026-09-18T13:04:00+00:00,False,2.3,69.6,17.2,,8.3,156.6,8.5,18.9,2026-09-19T06:00:00Z
37fcfb45aab5,Zaragoza,Zaragoza,41.93267,-0.80111,1,2026-09-18T13:04:00+00:00,False,1.98,59.4,14.2,,6.5,293.2,6.4,12.6,2026-09-19T06:00:00Z
dfab1058a137,Cadiz,Cadiz,36.17688,-5.42294,1,2026-09-19T02:09:00+00:00,False,1.97,53.0,14.6,,28.9,77.6,47.1,21.0,2026-09-19T06:00:00Z
190cd2e52ae1,Cadiz,Cadiz,36.91448,-5.7374,1,2026-09-18T13:48:00+00:00,False,1.79,64.7,17.6,,5.8,46.1,6.2,19.8,2026-09-19T06:00:00Z
11629e7431f3,Caceres,Caceres,39.17066,-5.46727,1,2026-09-19T02:09:00+00:00,False,0.71,29.3,15.0,,9.3,79.4,13.2,18.7,2026-09-19T06:00:00Z
25748be46d88,Badajoz,Badajoz,38.37891,-6.48373,1,2026-09-19T02:09:00+00:00,False,0.68,27.4,16.0,,7.2,153.9,7.2,18.5,2026-09-19T06:00:00Z
8ff56526ea13,Badajoz,Badajoz,38.8318,-6.44918,1,2026-09-19T01:22:00+00:00,False,0.66,24.9,44.0,,8.1,83.4,9.5,19.5,2026-09-19T06:00:00Z
f4735eee6904,Tarragona,Tarragona,40.734,0.6152,1,2026-09-19T02:41:00+00:00,False,0.4,30.0,26.5,,11.3,330.6,11.5,18.2,2026-09-19T06:00:00Z
